        0.0000  -1.345520   0.316314  -1.029206 
        5.0000  -1.335677   0.306421  -1.029256 
       10.0000  -1.371245   0.308184  -1.063061 
       15.0000  -1.369273   0.340533  -1.028740 
       20.0000  -1.289773   0.252836  -1.036937 
       25.0000  -1.399086   0.317347  -1.081740 
       30.0000  -1.363200   0.296524  -1.066675 
       35.0000  -1.357178   0.306194  -1.050984 
       40.0000  -1.375497   0.292317  -1.083180 
       45.0000  -1.371226   0.301874  -1.069352 
       50.0000  -1.384305   0.323975  -1.060330 
