        0.0000  -1.345520   0.354378  -0.991142 
        5.0000  -1.308313   0.315515  -0.992798 
       10.0000  -1.281765   0.284536  -0.997229 
       15.0000  -1.351146   0.320081  -1.031065 
       20.0000  -1.355294   0.281796  -1.073498 
       25.0000  -1.402758   0.335046  -1.067712 
       30.0000  -1.343817   0.270107  -1.073710 
       35.0000  -1.355105   0.303117  -1.051988 
       40.0000  -1.320920   0.257081  -1.063839 
       45.0000  -1.289584   0.229138  -1.060447 
       50.0000  -1.304377   0.235527  -1.068850 
       55.0000  -1.320980   0.254696  -1.066284 
       60.0000  -1.372352   0.319591  -1.052760 
       65.0000  -1.308111   0.286950  -1.021161 
       70.0000  -1.400740   0.396227  -1.004513 
       75.0000  -1.315148   0.317689  -0.997459 
       80.0000  -1.350975   0.374978  -0.975997 
       85.0000  -1.348139   0.362673  -0.985466 
       90.0000  -1.321429   0.337887  -0.983542 
       95.0000  -1.392406   0.409213  -0.983194 
      100.0000  -1.350122   0.356616  -0.993507 
      105.0000  -1.265141   0.245343  -1.019798 
      110.0000  -1.342028   0.345196  -0.996832 
      115.0000  -1.419082   0.437629  -0.981454 
      120.0000  -1.312792   0.327467  -0.985324 
      125.0000  -1.339570   0.380467  -0.959103 
      130.0000  -1.334577   0.381638  -0.952939 
      135.0000  -1.414742   0.472992  -0.941749 
      140.0000  -1.316311   0.372305  -0.944006 
      145.0000  -1.387430   0.430717  -0.956714 
      150.0000  -1.373687   0.432286  -0.941401 
      155.0000  -1.289069   0.331281  -0.957788 
      160.0000  -1.303503   0.332751  -0.970752 
      165.0000  -1.331132   0.361649  -0.969483 
      170.0000  -1.242680   0.284294  -0.958387 
      175.0000  -1.242074   0.280683  -0.961391 
      180.0000  -1.325978   0.336751  -0.989227 
      185.0000  -1.264166   0.315146  -0.949020 
      190.0000  -1.309571   0.346587  -0.962984 
      195.0000  -1.344989   0.375330  -0.969659 
      200.0000  -1.387707   0.369165  -1.018542 
      205.0000  -1.321175   0.306899  -1.014276 
      210.0000  -1.327866   0.313184  -1.014682 
      215.0000  -1.285610   0.264475  -1.021135 
      220.0000  -1.358038   0.341877  -1.016161 
      225.0000  -1.389242   0.352825  -1.036417 
      230.0000  -1.344015   0.288216  -1.055800 
      235.0000  -1.389084   0.289527  -1.099557 
      240.0000  -1.413451   0.300740  -1.112711 
      245.0000  -1.400954   0.286973  -1.113980 
      250.0000  -1.344429   0.240420  -1.104010 
      255.0000  -1.346855   0.226167  -1.120688 
      260.0000  -1.427731   0.302363  -1.125368 
      265.0000  -1.352200   0.249236  -1.102964 
      270.0000  -1.403568   0.276201  -1.127366 
      275.0000  -1.398241   0.254967  -1.143274 
      280.0000  -1.427903   0.298667  -1.129236 
      285.0000  -1.400587   0.298216  -1.102370 
      290.0000  -1.361309   0.299782  -1.061528 
      295.0000  -1.322743   0.246044  -1.076699 
      300.0000  -1.305872   0.247005  -1.058867 
      305.0000  -1.353702   0.291447  -1.062255 
      310.0000  -1.320812   0.242822  -1.077990 
      315.0000  -1.317168   0.254734  -1.062434 
      320.0000  -1.274779   0.208557  -1.066222 
      325.0000  -1.326608   0.243424  -1.083184 
      330.0000  -1.344229   0.253940  -1.090289 
      335.0000  -1.345569   0.264666  -1.080903 
      340.0000  -1.313577   0.227478  -1.086099 
      345.0000  -1.319690   0.251606  -1.068084 
      350.0000  -1.269041   0.256128  -1.012914 
      355.0000  -1.311795   0.280118  -1.031676 
      360.0000  -1.305621   0.266724  -1.038897 
      365.0000  -1.310247   0.257518  -1.052729 
      370.0000  -1.279805   0.254948  -1.024857 
      375.0000  -1.339776   0.312190  -1.027586 
      380.0000  -1.258310   0.280546  -0.977764 
      385.0000  -1.342716   0.365255  -0.977460 
      390.0000  -1.245465   0.266346  -0.979119 
      395.0000  -1.254590   0.308452  -0.946138 
      400.0000  -1.231556   0.299115  -0.932441 
      405.0000  -1.259579   0.316606  -0.942973 
      410.0000  -1.196575   0.283222  -0.913353 
      415.0000  -1.251996   0.327354  -0.924642 
      420.0000  -1.259505   0.370466  -0.889038 
      425.0000  -1.173169   0.336803  -0.836366 
      430.0000  -1.229649   0.387671  -0.841977 
      435.0000  -1.179125   0.341787  -0.837338 
      440.0000  -1.220324   0.400348  -0.819976 
      445.0000  -1.128077   0.315216  -0.812860 
      450.0000  -1.233778   0.406038  -0.827739 
      455.0000  -1.150641   0.330115  -0.820525 
      460.0000  -1.200801   0.363099  -0.837701 
      465.0000  -1.203839   0.348891  -0.854948 
      470.0000  -1.129103   0.280467  -0.848636 
      475.0000  -1.208132   0.344804  -0.863328 
      480.0000  -1.129602   0.267884  -0.861718 
      485.0000  -1.165086   0.290298  -0.874788 
      490.0000  -1.196935   0.303726  -0.893209 
      495.0000  -1.215841   0.335994  -0.879847 
      500.0000  -1.245767   0.344690  -0.901076 
      505.0000  -1.204131   0.296924  -0.907207 
      510.0000  -1.190053   0.285769  -0.904283 
      515.0000  -1.231384   0.326460  -0.904924 
      520.0000  -1.254615   0.350855  -0.903761 
      525.0000  -1.256017   0.313786  -0.942231 
      530.0000  -1.246554   0.316334  -0.930220 
      535.0000  -1.227625   0.280466  -0.947159 
      540.0000  -1.226319   0.232712  -0.993607 
      545.0000  -1.321064   0.310582  -1.010481 
      550.0000  -1.261520   0.258174  -1.003346 
      555.0000  -1.278259   0.307047  -0.971212 
      560.0000  -1.287362   0.263837  -1.023526 
      565.0000  -1.354529   0.294584  -1.059945 
      570.0000  -1.248628   0.230069  -1.018559 
      575.0000  -1.318177   0.293549  -1.024628 
      580.0000  -1.353773   0.327143  -1.026630 
      585.0000  -1.269550   0.243143  -1.026407 
      590.0000  -1.291950   0.314524  -0.977426 
      595.0000  -1.267942   0.286134  -0.981809 
      600.0000  -1.306897   0.338637  -0.968261 
      605.0000  -1.224619   0.230448  -0.994171 
      610.0000  -1.284804   0.310213  -0.974590 
      615.0000  -1.212295   0.249605  -0.962691 
      620.0000  -1.273152   0.293387  -0.979765 
      625.0000  -1.227594   0.267123  -0.960471 
      630.0000  -1.246010   0.270195  -0.975815 
      635.0000  -1.266422   0.290819  -0.975603 
      640.0000  -1.227465   0.290593  -0.936872 
      645.0000  -1.271578   0.310849  -0.960730 
      650.0000  -1.207353   0.246906  -0.960447 
      655.0000  -1.302121   0.306256  -0.995865 
      660.0000  -1.298237   0.300857  -0.997379 
